Date,NDVI,County_FIP
1/1/2019,0.539432685,1
1/2/2019,0.541693982,1
1/3/2019,0.543955278,1
1/4/2019,0.546216575,1
1/5/2019,0.548477871,1
1/6/2019,0.550739167,1
1/7/2019,0.553000464,1
1/8/2019,0.55526176,1
1/9/2019,0.557523057,1
1/10/2019,0.559784353,1
1/11/2019,0.56204565,1
1/12/2019,0.564306946,1
1/13/2019,0.566568242,1
1/14/2019,0.568829539,1
1/15/2019,0.571090835,1
1/16/2019,0.573352132,1
1/17/2019,0.575613428,1
1/18/2019,0.576359055,1
1/19/2019,0.577104681,1
1/20/2019,0.577850308,1
1/21/2019,0.578595935,1
1/22/2019,0.579341561,1
1/23/2019,0.580087188,1
1/24/2019,0.580832815,1
1/25/2019,0.581578441,1
1/26/2019,0.582324068,1
1/27/2019,0.583069695,1
1/28/2019,0.583815321,1
1/29/2019,0.584560948,1
1/30/2019,0.585306575,1
1/31/2019,0.586052201,1
2/1/2019,0.586797828,1
2/2/2019,0.587543455,1
2/3/2019,0.585964167,1
2/4/2019,0.58438488,1
2/5/2019,0.582805593,1
2/6/2019,0.581226305,1
2/7/2019,0.579647018,1
2/8/2019,0.578067731,1
2/9/2019,0.576488444,1
2/10/2019,0.574909156,1
2/11/2019,0.573329869,1
2/12/2019,0.571750582,1
2/13/2019,0.570171294,1
2/14/2019,0.568592007,1
2/15/2019,0.56701272,1
2/16/2019,0.565433432,1
2/17/2019,0.563854145,1
2/18/2019,0.562274858,1
2/19/2019,0.56587406,1
2/20/2019,0.569473262,1
2/21/2019,0.573072464,1
2/22/2019,0.576671666,1
2/23/2019,0.580270868,1
2/24/2019,0.58387007,1
2/25/2019,0.587469272,1
2/26/2019,0.591068474,1
2/27/2019,0.594667676,1
2/28/2019,0.598266879,1
3/1/2019,0.601866081,1
3/2/2019,0.605465283,1
3/3/2019,0.609064485,1
3/4/2019,0.612663687,1
3/5/2019,0.616262889,1
3/6/2019,0.619862091,1
3/7/2019,0.621956567,1
3/8/2019,0.624051043,1
3/9/2019,0.62614552,1
3/10/2019,0.628239996,1
3/11/2019,0.630334472,1
3/12/2019,0.632428948,1
3/13/2019,0.634523424,1
3/14/2019,0.6366179,1
3/15/2019,0.638712376,1
3/16/2019,0.640806853,1
3/17/2019,0.642901329,1
3/18/2019,0.644995805,1
3/19/2019,0.647090281,1
3/20/2019,0.649184757,1
3/21/2019,0.651279233,1
3/22/2019,0.653373709,1
3/23/2019,0.653120715,1
3/24/2019,0.65286772,1
3/25/2019,0.652614725,1
3/26/2019,0.65236173,1
3/27/2019,0.652108735,1
3/28/2019,0.65185574,1
3/29/2019,0.651602745,1
3/30/2019,0.65134975,1
3/31/2019,0.651096755,1
4/1/2019,0.65084376,1
4/2/2019,0.650590765,1
4/3/2019,0.650337771,1
4/4/2019,0.650084776,1
4/5/2019,0.649831781,1
4/6/2019,0.649578786,1
4/7/2019,0.649325791,1
4/8/2019,0.647213193,1
4/9/2019,0.645100594,1
4/10/2019,0.642987996,1
4/11/2019,0.640875397,1
4/12/2019,0.638762799,1
4/13/2019,0.636650201,1
4/14/2019,0.634537602,1
4/15/2019,0.632425004,1
4/16/2019,0.630312406,1
4/17/2019,0.628199807,1
4/18/2019,0.626087209,1
4/19/2019,0.62397461,1
4/20/2019,0.621862012,1
4/21/2019,0.619749414,1
4/22/2019,0.617636815,1
4/23/2019,0.615524217,1
4/24/2019,0.610267946,1
4/25/2019,0.605011674,1
4/26/2019,0.599755403,1
4/27/2019,0.594499131,1
4/28/2019,0.58924286,1
4/29/2019,0.583986589,1
4/30/2019,0.578730317,1
5/1/2019,0.573474046,1
5/2/2019,0.568217775,1
5/3/2019,0.562961503,1
5/4/2019,0.557705232,1
5/5/2019,0.55244896,1
5/6/2019,0.547192689,1
5/7/2019,0.541936418,1
5/8/2019,0.536680146,1
5/9/2019,0.531423875,1
5/10/2019,0.527705195,1
5/11/2019,0.523986514,1
5/12/2019,0.520267834,1
5/13/2019,0.516549153,1
5/14/2019,0.512830473,1
5/15/2019,0.509111792,1
5/16/2019,0.505393112,1
5/17/2019,0.501674431,1
5/18/2019,0.497955751,1
5/19/2019,0.49423707,1
5/20/2019,0.49051839,1
5/21/2019,0.486799709,1
5/22/2019,0.483081029,1
5/23/2019,0.479362348,1
5/24/2019,0.475643668,1
